system:index,dNBR,severity,.geo
206,-0.02575474977493286,0,"{""type"":""Point"",""coordinates"":[150.3852501828107,-33.50460652638855]}"
207,0.02929021418094635,0,"{""type"":""Point"",""coordinates"":[150.4094355856303,-33.60491188173951]}"
208,0.0073867738246917725,0,"{""type"":""Point"",""coordinates"":[150.32005976260848,-33.67516936241049]}"
209,0.10290318727493286,0,"{""type"":""Point"",""coordinates"":[150.3935074840436,-33.79968388321349]}"
210,0.2993680238723755,1,"{""type"":""Point"",""coordinates"":[150.39755520908497,-33.59340184614642]}"
211,0.025036275386810303,0,"{""type"":""Point"",""coordinates"":[150.48635372959737,-33.65299724539379]}"
212,0.026991337537765503,0,"{""type"":""Point"",""coordinates"":[150.50431281825416,-33.66968292500291]}"
213,0.21457207202911377,0,"{""type"":""Point"",""coordinates"":[150.3314462973843,-33.548001676841146]}"
214,-0.0031335540115833282,0,"{""type"":""Point"",""coordinates"":[150.4663649854922,-33.85376718840377]}"
215,0.1291864514350891,0,"{""type"":""Point"",""coordinates"":[150.4479291395442,-33.58383033524879]}"
216,0.0539783239364624,0,"{""type"":""Point"",""coordinates"":[150.49009654112137,-33.87638330189824]}"
217,0.009897708892822266,0,"{""type"":""Point"",""coordinates"":[150.5258948476842,-33.8054120645391]}"
218,0.011069640517234802,0,"{""type"":""Point"",""coordinates"":[150.52005750115714,-33.839393384586984]}"
219,0.1729881912469864,0,"{""type"":""Point"",""coordinates"":[150.31821901953032,-33.575040335939335]}"
220,0.0681719034910202,0,"{""type"":""Point"",""coordinates"":[150.28147686271728,-33.68344221179543]}"
221,0.0762384682893753,0,"{""type"":""Point"",""coordinates"":[150.45666207498454,-33.78926699071404]}"
222,-0.00266304612159729,0,"{""type"":""Point"",""coordinates"":[150.57043336144773,-33.62812746721865]}"
223,0.008827194571495056,0,"{""type"":""Point"",""coordinates"":[150.50098100788085,-33.84485822859956]}"
224,0.025539666414260864,0,"{""type"":""Point"",""coordinates"":[150.42719147832568,-33.71224997444356]}"
225,0.1853063404560089,0,"{""type"":""Point"",""coordinates"":[150.27231971314197,-33.53856658031167]}"
226,0.017706871032714844,0,"{""type"":""Point"",""coordinates"":[150.50679936893533,-33.694884508500884]}"
227,0.30104976892471313,1,"{""type"":""Point"",""coordinates"":[150.30086139345534,-33.55320780891228]}"
228,0.016512244939804077,0,"{""type"":""Point"",""coordinates"":[150.27536105404445,-33.627346327446425]}"
229,0.02330198884010315,0,"{""type"":""Point"",""coordinates"":[150.62396894618533,-33.74920294259581]}"
230,0.1736530363559723,0,"{""type"":""Point"",""coordinates"":[150.2867558101104,-33.748242690363355]}"
231,0.04468488693237305,0,"{""type"":""Point"",""coordinates"":[150.38759172855418,-33.6657348679648]}"
232,0.32353752851486206,1,"{""type"":""Point"",""coordinates"":[150.36574414370045,-33.63070148386092]}"
233,-0.04155352711677551,0,"{""type"":""Point"",""coordinates"":[150.58855747907248,-33.6939024538889]}"
234,0.0441746711730957,0,"{""type"":""Point"",""coordinates"":[150.26638432990268,-33.81179782970698]}"
235,-0.03370487689971924,0,"{""type"":""Point"",""coordinates"":[150.4240885977727,-33.714911827164954]}"
236,-0.016086339950561523,0,"{""type"":""Point"",""coordinates"":[150.27778380617002,-33.70539757435513]}"
237,0.07111074030399323,0,"{""type"":""Point"",""coordinates"":[150.42520831535617,-33.8601057788266]}"
238,0.12801456451416016,0,"{""type"":""Point"",""coordinates"":[150.27417277394554,-33.572156038025994]}"
239,0.014728367328643799,0,"{""type"":""Point"",""coordinates"":[150.36138708598267,-33.74530661476972]}"
240,-0.0013214349746704102,0,"{""type"":""Point"",""coordinates"":[150.48632183371254,-33.73691757692745]}"
241,0.09031854569911957,0,"{""type"":""Point"",""coordinates"":[150.4596853145642,-33.49198919253748]}"
242,0.013378351926803589,0,"{""type"":""Point"",""coordinates"":[150.47384596632227,-33.87122725236015]}"
243,-0.011935904622077942,0,"{""type"":""Point"",""coordinates"":[150.55576008124203,-33.593374869764396]}"
244,0.20721420645713806,0,"{""type"":""Point"",""coordinates"":[150.42628645663683,-33.50696436418168]}"
245,0.045739367604255676,0,"{""type"":""Point"",""coordinates"":[150.2751706668141,-33.84096103667504]}"
246,0.02152983844280243,0,"{""type"":""Point"",""coordinates"":[150.45369866582524,-33.73209529347157]}"
247,0.24247178435325623,0,"{""type"":""Point"",""coordinates"":[150.4502250021261,-33.88813057619345]}"
248,0.25225186347961426,0,"{""type"":""Point"",""coordinates"":[150.4641325694111,-33.60459188228176]}"
249,0.08268933743238449,0,"{""type"":""Point"",""coordinates"":[150.36055518378737,-33.58641517750089]}"
250,0.1773865520954132,0,"{""type"":""Point"",""coordinates"":[150.2486763277456,-33.772878876046455]}"
251,0.11662418395280838,0,"{""type"":""Point"",""coordinates"":[150.28753455120903,-33.60884020238045]}"
252,0.122194305062294,0,"{""type"":""Point"",""coordinates"":[150.39185129110464,-33.56635325437148]}"
253,0.23851153254508972,0,"{""type"":""Point"",""coordinates"":[150.4573655796576,-33.79998085058198]}"
254,0.01918169856071472,0,"{""type"":""Point"",""coordinates"":[150.34872589503692,-33.73693791018657]}"
255,-0.006224125623703003,0,"{""type"":""Point"",""coordinates"":[150.5102892531902,-33.859554726371925]}"
256,-0.016552001237869263,0,"{""type"":""Point"",""coordinates"":[150.48490510439382,-33.7340463416702]}"
257,0.057368457317352295,0,"{""type"":""Point"",""coordinates"":[150.44130462559625,-33.6369172910916]}"
258,0.2779041826725006,1,"{""type"":""Point"",""coordinates"":[150.42369152712084,-33.8459269474435]}"
259,0.20139238238334656,0,"{""type"":""Point"",""coordinates"":[150.35814460593076,-33.49191741215974]}"
